title,location,size,selling price
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,Njathaini Road Villas,"KSh 28,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Lavington 4 bedroom Townhouse plus Dsq for sale...,"KSh 63,000,000"
6 Bed Villa with En Suite in Diani,Diani,Luxury Villa with Guesthouse and private pool,Price not communicated
6 Bed House with En Suite at New Kitisuru,"New Kitisuru, Kitisuru, Westlands",6 Bedrooms,"KSh 82,000,000"
4 Bed Villa in Vipingo,Vipingo,"4br Executive Villa On Sale, Vipingo","KSh 67,000,000"
4 Bed Townhouse with En Suite in Syokimau,Syokimau,4 Bedroom ALL ensuite #Townhouses + DSQ,"KSh 18,000,000"
4 Bed Townhouse with En Suite in Ruiru,Ruiru,New 4 Bedroom ALL ensuite Mansion,"KSh 13,000,000"
4 Bed House with Garden at Loresho,"Loresho, Westlands",4 bedroom master ensuite for sale,"KSh 70,000,000"
3 Bed House with En Suite at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road",3BR VILLA FOR SALE IN FOURWAYS JUNCTION ESTATE...,"KSh 25,000,000"
4 Bed House in Tigoni,"Tigoni, Limuru",Four bedrooms plus sq for sale tigoni,"KSh 50,000,000"
4 Bed House in Waiyaki Way,"Waiyaki Way, Westlands",4 Bedroom Maisonette with DSQ For Sale Off Waiy...,"KSh 42,000,000"
5 Bed House with Garden at Kamakis,"Kamakis, Ruiru","5 BEDROOM HOUSE FOR SALE IN KAMAKIS, NEAR EASTE...","KSh 15,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5 Bedroom Townhouses For Sale,"KSh 60,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,"NEW 5 BEDROOM TOWNHOUSE + 2 DSQ, 7,000 SQFT, EL...","KSh 110,000,000"
4 Bed Villa with En Suite in Windsor,"Windsor, Roysambu",4 Bedroom Villas for Sale On Mushroom Road – Wi...,"KSh 59,000,000"
6 Bed House with En Suite in Ongata Rongai,Ongata Rongai,6 bedroom maisonnette located in Ongata-Rongai...,"KSh 40,000,000"
6 Bed Townhouse in Lavington,Lavington,6 bedrooms for Sale .Lavington,"KSh 150,000,000"
4 Bed House with En Suite at Thika Road,"Thika Road, Membley, Ruiru","Membly Estate Thika Road, A Modern and Spacious...","KSh 22,000,000"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,PALATIAL FOUR BEDROOM FOUR BEDROOM KIAMBU TOWNH...,"KSh 50,000,000"
5 Bed House with En Suite at Mombasa Road Machakos,"Syokimau, Mombasa Road Mombasa Road, Mombasa Road Machakos",5 Bedrooms Town House for Sale Syokimau Mombasa...,"KSh 15,800,000"
6 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",LUXURIOUSLY PROPORTIONED 6 BEDROOM HOUSE FOR SA...,"KSh 85,000,000"
5 Bed House with Garden in Lavington,Lavington,Remarkable 5 Bedroom House For Sale in Lavingto...,"KSh 63,000,000"
5 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",5 BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON AT K...,"KSh 55,000,000"
3 Bed House with En Suite at Ruiru,"Ruiru, Kamakis",3 BEDROOM IN RUIRU MATANGI FOR SALE,"KSh 7,900,000"
4 Bed Townhouse with En Suite in Kitengela,Kitengela,luxurious 4 bedroom town house located in Kite...,"KSh 17,000,000"
3 Bed House with En Suite at Milimani,"Milimani, Kitengela",3 Bedroom Bungalow With A Dsq For Sale in Kiten...,"KSh 6,200,000"
5 Bed Townhouse with En Suite at Lavington,Lavington,Lavington – 5 Bedroom Town House – For Sale,"KSh 75,000,000"
3 Bed House with En Suite at Mombasa Road,"Mombasa Road, Athi River","3bdrm Bungalow in Lukenya Wildlife, DayStar Are...","KSh 29,980,000"
4 Bed Villa with En Suite at School Lane,"School lane, Westlands Area, Westlands",Spacious,"KSh 47,000,000"
4 Bed Villa in Bamburi,Bamburi,Nyali TUDOR CREEK 4 bedrooms,"KSh 200,000,000"
6 Bed House at Nairobi,"Manyani East road, Lavington, Nairobi","6 Bed House for sale on 0.75 acres, Manyani Eas...","KSh 165,000,000"
3 Bed House with En Suite in Kitengela,Kitengela,Spectacular 3br + dsq town houses in Kitengela,"KSh 9,950,000"
6 Bed Villa with En Suite at Lavington,Lavington,Stunning 6 Bedroom villa nestled in the juicies...,"KSh 75,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Stunning 5Bedroom Townhouse for Sale in Lavingt...,"KSh 43,000,000"
5 Bed House with En Suite at Kimbo Matangi,"Kimbo Matangi, Ruiru",FLAT ROOF MANSIONATE FOR SALE,"KSh 13,500,000"
4 Bed House with Garden at Kitengela,"Milimani, Kitengela",It is newly built 4 bedrooms house on own compo...,"KSh 6,000,000"
4 Bed House with En Suite at Off Paradise Lost Road,"Off Paradise Lost Road, Kiambu Road",4Br House For Sale In Runda Paradise Estate Alo...,"KSh 29,000,000"
3 Bed Villa with En Suite in Diani,Diani,FOR SALE 3 BEDROOMS HOLIDAY VILLA FOR SALE - DI...,"KSh 28,000,000"
4 Bed House with En Suite at Nyali,"Nyali, Nyali Area",4 bedroom mansionate on sale at KES 38m only Ny...,"KSh 38,000,000"
5 Bed Townhouse with En Suite in Langata,Langata,5 bedroom townhouse for sale in Langata (Kenya)...,"KSh 27,000,000"
4 Bed House with En Suite at Katani Road,"Katani Road, Syokimau",4 bedroom maisonettes in a gated community in S...,"KSh 18,000,000"
6 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",6 bedroom house for sale in Kitisuru (Kenya) 3K...,Price not communicated
4 Bed Townhouse with En Suite in Lavington,Lavington,A Stunning 4Bedroom Townhouse for sale in Lavin...,"KSh 61,000,000"
6 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",6 BEDROOMS,"KSh 128,000,000"
3 Bed House with Swimming Pool in Watamu,Watamu,3 Bedroom Sea View House on 1 acre in Watamu,"KSh 22,000,000"
4 Bed House with Garden in Karen,Karen,4 bedroom bungalow for sale in Karen at Ksh 47...,"KSh 47,000,000"
5 Bed Townhouse with En Suite at Lavington Green,"Lavington Green, Lavington",Stylish 5 bedrooms townhouse plus family rm and...,"KSh 50,000,000"
4 Bed Villa with En Suite at Muthithi Road,"Muthithi Road, Kiambu Road",VILLAS FOR SALE,"KSh 30,000,000"
5 Bed Villa with En Suite in Ruiru,Ruiru,Now available for Sale is a Fully Furnished 5...,"KSh 65,000,000"
5 Bed House with En Suite at Old Kitisuru,"Old Kitisuru, Kitisuru, Westlands",5 bedroom house for sale in Kitisuru,"KSh 88,000,000"
4 Bed House with Garden at Malewa Rd 2,"Malewa Rd 2, Komarock",4 bedroom house for sale in Komarok.,"KSh 18,000,000"
4 Bed Villa with En Suite at Plantation,"Kilifi plantation, Plantation, Kilifi County",Beach view villa on sale at kilifi plantation,"KSh 95,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,"5 Bedroom Townhouse For Sale, Lavington","KSh 55,000,000"
4 Bed Villa with En Suite in Kamakis,"Kamakis, Ruiru",Elegant 4 bedroom located in Eastern by pass,"KSh 13,100,000"
3 Bed House with En Suite in Kitengela,Kitengela,3 Bedroom Bungalow For Sale in Kitengela,"KSh 6,200,000"
5 Bed House with En Suite in Shanzu,Shanzu,5 bedroom bungalow with a 2 bedroom guest wing,"KSh 45,000,000"
4 Bed Villa with En Suite at Diani,"South Coast, Diani",4 Bedroom villa with a sea view on sale,"KSh 100,000,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",A 4 bedroom House for sale in runda paradise,"KSh 88,000,000"
4 Bed Townhouse in Rhapta Road,"Rhapta Road, Westlands",Gorgeous 4 Bedroom Townhouse For Sale On Rhapta...,"KSh 35,000,000"
4 Bed Villa with En Suite in Karen,Karen,Luxury 4-Bedroom Villas in Karen Stunning View...,"KSh 70,000,000"
5 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",Exclusive 5 bedroom townhouse within a luxuriou...,"KSh 118,500,000"
5 Bed House with En Suite in Syokimau,Syokimau,5 BEDROOMS MAISONETTE,"KSh 16,500,000"
2 Bed Townhouse with En Suite at Kindaruma Road,"046, Kindaruma Road, Kilimani",Pinecrest View,"KSh 10,950,000"
3 Bed Townhouse in Ngumo Estate,Ngumo Estate,3 Bedroom Maisonette + DSQ For Sale in Ngumo Es...,"KSh 18,000,000"
4 Bed House in Nyali Area,"Nyali Area, Nyali",4 Brm Mansion On Sale Nyali Mombasa,"KSh 70,000,000"
4 Bed House in Githunguri,Githunguri,Gakoe Farm House a 4 Bedroom House | Githunguri...,"KSh 9,500,000"
4 Bed Villa with En Suite at Watamu - Kilifi,"Watamu - Kilifi, Watamu",Kilifi - Watamu : 4 Bedroom Luxury Holiday Vil...,Price not communicated
2 Bed Villa with En Suite in Kilifi,Kilifi,2 bedroom cottage in Kilifi,"KSh 4,600,000"
5 Bed Townhouse with En Suite at Chalbi Drive,"A 70, Chalbi Drive, Lavington",A five bedroom all ensuite townhouse plus two D...,"KSh 68,000,000"
4 Bed House with En Suite in Syokimau,Syokimau,4 BEDROOMS MAISONETTE IN SYOKIMAU.,"KSh 24,500,000"
3 Bed House with En Suite in Kitengela,Kitengela,3-BEDROOMS BUNGALOW,"KSh 5,800,000"
3 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",3 Bedroom Bungalow For Sale in Nyali,"KSh 36,000,000"
4 Bed House with En Suite at Malindi,"Casaurina, Malindi",4bedrooms villa for sale.,"KSh 40,000,000"
4 Bed Townhouse with En Suite in Mountain View,"Mountain view, Mountain View, Westlands",Exclusive four bedroom house,"KSh 37,000,000"
5 Bed House with En Suite at Malindi,"Kibokoni, Malindi","Malindi kibokoni,5 Bdrm house on sale","KSh 20,000,000"
4 Bed Townhouse with Garden in Lavington,Lavington,4 Bed Townhouse With Garden For Sale In Lavingt...,"KSh 68,000,000"
3 Bed Townhouse with En Suite at Jacaranda,"Jacaranda, Donholm",3 bedroom maisonette with DSQ,"KSh 12,500,000"
6 Bed House in Watamu,Watamu,6 bedroom house in Watamu Kilifi,"KSh 45,000,000"
4 Bed Townhouse in Rhapta Road,"Rhapta Road, Westlands",Spacious 4 Bedroom Townhouse For Sale On Rhapta...,"KSh 32,000,000"
5 Bed House with Garden in Lower Kabete,"Lower Kabete, Westlands",5 bedroom house on 0.75 acres (3KE1616212 ),"KSh 85,000,000"
3 Bed House with En Suite at Naivasha,"Moi North Lake Road, Naivasha","Villa for Sale, Great Rift Valley Lodge, Naivas...","KSh 40,000,000"
5 Bed House with En Suite at Flem Tree,"67, Flem Tree, Runda, Westlands","A home of tranquility, grace and beauty that wi...","KSh 180,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,4 bedroom plus sq for sale,"KSh 55,000,000"
4 Bed House in Imara Daima,Imara Daima,4 Bedroom House for Sale in Imara Daima,"KSh 20,000,000"
3 Bed Townhouse with En Suite at Upper Waiyaki Way,"Upper Waiyaki Way, Rironi, Limuru",Spacious 3 and 4 Bedrooms maisonette with DSQ,"KSh 15,000,000"
3 Bed House with En Suite at Kangundo Road,"Kangundo Road, Joska, Kamulu Joska Malaa",3 BEDROOM BUNGALOW PLUS SQ,"KSh 8,150,000"
5 Bed House with Gym in Kamakis,"Kamakis, Ruiru","5-BEDROOMS MANSION AT CORNER STAGE, KAMAKIS.","KSh 25,500,000"
4 Bed House with En Suite at Vipingo,"vipingo, Mombasa CBD, Mombasa Island",4 bedroom own compound villa on sale at a prime...,"KSh 75,000,000"
3 Bed House with Garden in Nakuru,Nakuru,3 Bedroom Home For Sale,"KSh 5,500,000"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",Prestigious 5 Bedroom All en-suite New Kitisuru,"KSh 150,000,000"
4 Bed House with En Suite at Karen,Karen,4 BEDROOM HOUSE FOR SALE IN KAREN,"KSh 65,000,000"
4 Bed Villa with En Suite at Lavington Green,"Lavington Green, Lavington",Extremely beautiful new 4 bedrooms townhouse pl...,"KSh 68,000,000"
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,Breathtaking 4br plus dsq all ensuite Townhouse,"KSh 29,900,000"
3 Bed House with Borehole in Ruiru,Ruiru,3 BEDROOMS BUNGALOW IN MATANGI,"KSh 7,500,000"
4 Bed House with En Suite in Kyuna,"Nairobi, Kyuna, Westlands",4 Bedroom Townhouse For Sale In Kyuna,"KSh 90,000,000"
5 Bed House with En Suite in Kiambu Road,Kiambu Road,Kiambu Road Villas,"KSh 63,950,000"
3 Bed House with En Suite in Kitengela,Kitengela,"3 BEDROOMS BUNGALOW, KITENGELA.","KSh 6,000,000"
3 Bed Townhouse with En Suite at Oasis Hospital,"Mtwapa Weigh Bridge, Oasis Hospital, Mtwapa",GREENWOOD PHASE (1) 3 BEDROOM TOWNHOUSE FOR SAL...,"KSh 8,500,000"
4 Bed Townhouse with En Suite at Kikuyu,"KIKUYU, South B","READY 4 BEDROOM TOWNHOUSE IN KIKUYU,GIKAMBURA","KSh 12,000,000"
5 Bed Townhouse in Lavington,Lavington,5bedrooms 50M,"KSh 50,000,000"
5 Bed Villa with En Suite in Ongata Rongai,Ongata Rongai,"5 BEDROOM VILLA,RONGAI","KSh 30,000,000"
7 Bed House with En Suite in Watamu,Watamu,Hose For Sale: 5 Bedrooms All Ensuite Sitting O...,"KSh 33,000,000"
5 Bed Villa with En Suite in Ongata Rongai,"01, Ongata Rongai",5-BEDROOM VILLA ON SALE.,"KSh 30,000,000"
4 Bed House with En Suite at Katani Road,"Katani Road, Syokimau",Lovely 4 Bedroom Townhouse For Sale In Syokima...,"KSh 16,000,000"
4 Bed House with En Suite in Karen,Karen,4 Bedroom House + SQ for Sale in Karen,"KSh 85,000,000"
7 Bed House with Backup Generator in Nyari,"Nyari, Westlands",Stunning 7 Bedroom House for Sale In Nyari,"KSh 165,000,000"
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",LESS CROWDED REAL ESTATE!!PALATIAL FOUR BEDROO...,"KSh 105,000,000"
4 Bed Townhouse with En Suite at Mombasa Road,"Mombasa Road, Syokimau",Executive 4BR maisonette with DSQ for sale at S...,"KSh 18,000,000"
5 Bed House with En Suite at Old Muthaiga,"Old Muthaiga, Muthaiga",Ambassadorial residence 5 bedroom sitting on 2....,"KSh 550,000,000"
4 Bed House with En Suite at Off North Airport Road,"Off North Airport road, Embakasi",4-BEDROOM MAISONETTE CORNER HOUSE FOR SALE WITH...,"KSh 12,500,000"
3 Bed Villa with En Suite at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road","3 Bedroom House for Sale in Fourways Junction,...","KSh 26,000,000"
5 Bed House with Swimming Pool in Westlands Area,"Westlands Area, Westlands",5 bedroom Townhouse for Rent/Sale in Grevillea...,"KSh 70,000,000"
5 Bed Villa with En Suite in Lavington,Lavington,5br Luxurious Villas for sale,"KSh 80,000,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,4Br House For Sale in a Gated Estate Along Kiam...,"KSh 37,000,000"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",Exclusive 4Bedroom Townhouse for Sale in Kitisu...,"KSh 135,000,000"
4 Bed Townhouse with En Suite at Nyali,"nyali, Nyali, Mkomani",4 bedroom town house project on sale at a prime...,"KSh 42,000,000"
4 Bed Townhouse with En Suite in Ruiru,Ruiru,4 Bedroom Maissonate for sale in Ruiru at kes 2...,"KSh 20,000,000"
7 Bed House with En Suite at Evergreen,"77, Evergreen, Runda, Westlands",A Spacious 7 Bedroom House For Sale In Runda,"KSh 135,000,000"
4 Bed House with En Suite in Gigiri,"Gigiri, Westlands",Four Bedroom House for sale in Gigiri,"KSh 120,000,000"
4 Bed Townhouse with En Suite in Syokimau,Syokimau,luxury 5 bedroom town houses located in Syokima...,"KSh 19,700,000"
3 Bed House with En Suite at Juja-Gatundu Road,"Juja-Gatundu road, Thika Road",3 Bedroom all-ensuite Contemporary Bungalows in...,"KSh 6,750,000"
3 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,3 Bedroom Townhouse For Sale in Kiambu,"KSh 25,000,000"
3 Bed House with Garden in Ruiru,Ruiru,"3 BEDROOMS BUNGALOW, RUIRU MATANGI.","KSh 7,500,000"
6 Bed Townhouse with Swimming Pool at Kyuna Close,"Kyuna Close, Spring Valley, Westlands",6 Bedroom Palatial House On 1.9 Acre Plot For S...,"KSh 295,000,000"
4 Bed Villa with En Suite in Garden Estate,"Garden Estate, Roysambu",GARDEN CITY RESIDENCES – 4 BEDROOM VILLAS FOR...,"KSh 27,000,000"
4 Bed House with En Suite in Karen,Karen,Karen House For Sale,"KSh 49,500,000"
7 Bed Villa with En Suite at Mtwapa Creekside,"Aloo drive, Mtwapa creekside, Mtwapa",Creek Beach 7 Bedrooms Maisonette on sale,"KSh 80,000,000"
3 Bed House with En Suite at Mushroom Gardens,"Mushroom Gardens, Kiambu Road",Mushroom Gardens Spacious 3 Bedroom Mansion for...,"KSh 50,000,000"
5 Bed Townhouse with Alarm in Westlands Area,"Westlands Area, Westlands",5 Bedroom Townhouse for Sale,"KSh 39,500,000"
5 Bed House at Convent Road,"Convent Road, Lavington","Stunning 5 Bedroom House, Convent Road, Lavingt...","KSh 70,000,000"
4 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",4 Bedroom Townhouse with Luxury Amenities For R...,"KSh 48,000,000"
4 Bed Villa with En Suite at Pride Inn,"Serena, Pride Inn, Shanzu","Serena near pride Inn,a 4 bedroom villa on sale...","KSh 45,000,000"
4 Bed House with En Suite at Joska,"Joska, Kamulu, Kamulu Joska Malaa",Bungalows in joska,"KSh 7,800,000"
3 Bed House with En Suite at Mugutha,"Mugutha, Ruiru","Flat Roof Bungalow For Sale In Mugutha,Ruiru","KSh 8,500,000"
4 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali",EXCEPTIONAL SUN-DRENCHED 4 BEDROOM MAISONETTE F...,"KSh 50,000,000"
5 Bed Townhouse with En Suite at Lavington,Lavington,5 bedroom townhouse for sale in Lavington at 60...,"KSh 83,000,000"
4 Bed House with En Suite at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road",4Br Villa For Sale in Fourways Junction Estate,"KSh 30,000,000"
2 Bed House with En Suite at Merryland,"Merryland, Syokimau",House for Sale,"KSh 9,500,000"
5 Bed House with En Suite at Camphor Road,"Nairobi, Camphor Road, Runda, Westlands",Modern 5 Bedroom Standalone House For Rent & Sa...,"KSh 100,000,000"
4 Bed Townhouse with En Suite at Fouways Junction Estate,"Fouways Junction Estate, Kiambu Road",4Bedroom Townhouse For Sale In Fourways Junct...,"KSh 30,000,000"
5 Bed Villa in Vipingo,Vipingo,"5 Brm Hill Top Villa On Sale, Vipingo Kilifi Co...","KSh 120,000,000"
2 Bed House with En Suite in Malindi,Malindi,Cottage for Sale in Malindi- Kipanga,"KSh 16,000,000"
5 Bed House with En Suite in Gigiri,"Gigiri, Westlands",5 Bedroom House For Sale in Gigiri,"KSh 120,000,000"
1 Bed House with En Suite at Denis Prit Road.,"0714n/0723p, Kilimani, Denis Prit Road.",Elegant cozy studio in an idyllic prestigious l...,"KSh 6,500,000"
3 Bed House with En Suite at Muigai,"Muigai, Kitengela",3 bedroom Executive Villas for sale in Kitengel...,"KSh 12,500,000"
3 Bed House with En Suite in Kitengela,Kitengela,Modern Flatroof Plus DSQ,"KSh 7,200,000"
4 Bed House in Nyali Area,"Nyali Area, Nyali",4 Brm Mansion On Sale Nyali Mombasa,"KSh 32,000,000"
4 Bed Townhouse with En Suite at Two Rivers,"Two Rivers, Redhill",4-bedroom + DSQ duplexes,"KSh 45,000,000"
4 Bed Townhouse with En Suite in Shanzu,Shanzu,FOR SALE 4 BEDROOMS EXCUTIVE MANSION - SHANZU,"KSh 45,000,000"
3 Bed House with En Suite at Mumias South Rd,"MUMIAS SOUTH RD, Buruburu",3B/RM HOUSE - BURU BURU PHASE ONE KSH 10M Negot...,"KSh 10,000,000"
3 Bed House with En Suite at Milimani,"Milimani, Kitengela",3 Bedroom Bungalow For Sale In Kitengela,"KSh 6,500,000"
6 Bed Townhouse with En Suite at Lavington,Lavington,"5bedrooms,DSQ,Attic for sale","KSh 55,000,000"
4 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",Brand new town hse 4bd all ensuite DSQ - fitted...,"KSh 65,000,000"
5 Bed Townhouse with En Suite at Maziwa,"Maziwa, Lavington",Gorgeous secure 4 bedrooms townhouse plus TV ar...,"KSh 40,000,000"
3 Bed Townhouse with En Suite at Nairobi Namanga,"Nairobi Namanga, Kitengela",3Bedrooms master ensuite for sale in Kitengela,"KSh 9,000,000"
3 Bed House with En Suite in Mtwapa,Mtwapa,UPCOMING 3 BEDROOMS MASSIONATES IN MTWAPA FOR S...,"KSh 6,500,000"
4 Bed House with En Suite at Kenyatta Road,Kenyatta Road,4 Bedroom Ultra Modern Mansion at Kenyatta Road,"KSh 7,500,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",4 Bedroom all-ensuite House for Sale in Runda,"KSh 72,000,000"
4 Bed House with En Suite at Nyali,"Nyali, Nyali Area",4 bedroom executive Mansion on sale Nyali Momba...,"KSh 140,000,000"
4 Bed House with Garden in Ngong,Ngong,4 BEDROOMS BUNGALOW IN NGONG.,"KSh 16,500,000"
3 Bed House with En Suite in Kilifi,Kilifi,3 BEDROOMS BUNGALOW FOR SALE - KILIFI TOWN,"KSh 25,000,000"
5 Bed House with En Suite in Muthaiga,Muthaiga,5 bedrooms house for sale in Muthaiga at 550m,"KSh 550,000,000"
3 Bed House with Swimming Pool in Kilifi County,Kilifi County,3 bedrooms massionate for sale,"KSh 65,000,000"
6 Bed House with En Suite in Karen,Karen,*Karen Ambassadorial House Plus Land on Sale*,"KSh 180,000,000"
4 Bed House with En Suite in Windsor,"Windsor, Roysambu",Amazing 4 Bedroom Home in Windsor,"KSh 123,000,000"
5 Bed House with En Suite in Muthaiga,Muthaiga,"5 Bed House for sale, 1.1 acres, Muthaiga Garde...","KSh 190,000,000"
4 Bed House with En Suite in Lavington,Lavington,LAVINGTON 4 BEDROOM TOWNHOUSE FOR SALE,"KSh 60,000,000"
3 Bed House with En Suite at Mombasa Road,"Mombasa Road, Syokimau",3-bedroom maisonette with a DSQ in Syokimau,"KSh 14,000,000"
3 Bed House with Garden in Vipingo,Vipingo,Villa 47 Vipingo Ridge - 3KE1622171,"KSh 68,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Ultra Modern 5Bedroom Townhouse for Sale in Lav...,"KSh 95,000,000"
4 Bed Villa with En Suite in Runda,"Runda, Westlands",BREATH-TAKING VILLAS FOR SALE IN RUNDA FROM KES...,"KSh 130,000,000"
4 Bed Villa with En Suite at Eastern Bypass,"Eastern Bypass, Eastern ByPass, Ruiru",AFFORDABLE LUXURIOUS VILLAS FOR SALE,"KSh 12,600,000"
4 Bed House with En Suite at Muthaiga North,"Muthaiga north, Muthaiga",4 bedroom house for sale in Muthaiga north,"KSh 36,000,000"
3 Bed Townhouse with En Suite at Near Oasis Hospital Mtwapa,"Near Oasis Hospital mtwapa, Mtwapa",MTWAPA 3 BEDROOM TOWNHOUSE FOR SALE-KES.5.9M,"KSh 7,500,000"
3 Bed Villa with En Suite in Kilifi County,Kilifi County,3-BED LUXURY VILLA FOR SALE IN KULIFI,"KSh 42,000,000"
4 Bed Townhouse with En Suite at Nairobi Namanga Road,"Nairobi Namanga road, Kitengela",4 Bedroom luxury town houses with DQ for sale i...,"KSh 17,000,000"
6 Bed Townhouse with En Suite in Lavington,Lavington,Spacious 6 Bedrooms all ensuite plus Dsq and a...,"KSh 55,000,000"
4 Bed House with En Suite in Karen,Karen,Karen Hardy Spacious and Modern 4 Bedroom Mansi...,"KSh 75,000,000"
4 Bed House in Thigiri,"Thigiri, Westlands",Four bedrooms plus sq thingiri for sale,"KSh 130,000,000"
5 Bed House with En Suite at Kitisuru Road,"66 d, Kitisuru Road, Kitisuru, Westlands",Consists of two land parcels together as a whol...,"KSh 550,000,000"
5 Bed House with En Suite at Hardy,"Hardy, Karen",5 BEDROOM HOUSE FOR SALE IN KAREN NAIROBI KENYA,"KSh 120,000,000"
4 Bed Townhouse with En Suite in South B,South B,4 bedroom house for sale in South B (Kenya) 3KE...,"KSh 20,000,000"
5 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,5Bedroom plus dsq for Sale in Kileleshwa,"KSh 52,000,000"
4 Bed Villa with En Suite at Ruiru-Githunguri Road,"Ruiru-Githunguri Road, Ruiru",MODERN FLATROOF MAISONETTES FOR SALE IN RUIRU,"KSh 15,500,000"
5 Bed House with En Suite at Kiambu Road,Kiambu Road,Kiambu Road Spacious and Modern 5 Bedroom Mansi...,"KSh 90,000,000"
4 Bed Townhouse with En Suite at Tigoni,"Tigoni, Limuru","4br Townhouse, Tigoni","KSh 50,000,000"
4 Bed Villa with En Suite at Marist Lane,"Marist Lane, Karen",4 bedrooms with ensuite for sale,"KSh 75,000,000"
3 Bed Townhouse at Mbagathi Way,"Mbagathi Way, Langata",4-Bedroom Maisonette for Sale Highview Estate P...,"KSh 12,500,000"
4 Bed House with En Suite at Nyali,"Nyali, Nyali Area",4 Bedroom House For Sale In Bamburi,"KSh 50,000,000"
3 Bed House with Garden in Kitengela,Kitengela,3 BEDROOMS MAISONETTE IN KITENGELA.,"KSh 10,500,000"
5 Bed House with En Suite in Thika,Thika,5 bedroom townhouse for sale in Thika (Kenya) 3...,"KSh 30,000,000"
5 Bed Townhouse with En Suite at Off Ruaka Rd,"2, Off Ruaka Rd, Runda, Westlands",A Spectacular 5 Bedrooms brand new villa for sa...,"KSh 200,000,000"
3 Bed House with En Suite at Namanga Road,"Namanga Road, Kitengela","3bdrm Bungalow in Milimani, Kitengela for sale","KSh 9,500,000"
3 Bed Townhouse with En Suite at Waiyaki Way,"waiyaki way, Westlands Area, Westlands","SPACIOUS 3 BED MAISONETTE WITH SQ, FOR SALE ON...","KSh 38,500,000"
3 Bed House with Garden at Rimpa,"N/A, Rimpa, Ongata Rongai",3 BEDROOMS BUNGALOWS,"KSh 6,500,000"
4 Bed House with En Suite at Kiambu Road,"Kiambu road, Kiambu Road",4 BR VILLA IN KENCOM SACCO FOR SALE OFF PARADIS...,"KSh 36,000,000"
3 Bed House with En Suite at Old Nyali,"Old Nyali, Nyali Area, Nyali",FOR SALE 3 BEDROOMS EXCUTIVE BUNGALOW - OLD NYA...,"KSh 30,000,000"
6 Bed Villa with En Suite at Lavington,"lavington, Lavington",6 BEDROOMS VILLA FOR SALE IN LAVINGTON,"KSh 120,000,000"
5 Bed Townhouse with En Suite at Mukokoa Court,"mukokoa court, Komarock",3 Bedroom Maisonette + Guesthouse In Komarock M...,"KSh 9,000,000"
5 Bed House with En Suite at Mimosa,"MIMOSA, Runda, Westlands",5 BEDROOMS,"KSh 100,000,000"
5 Bed House with En Suite at Mbagathi Ridge,"Mbagathi Ridge, Karen",Attractive family home set on approx. 3 acres o...,"KSh 299,700,000"
5 Bed Villa in Lavington,Lavington,Contemporary Modern 5 Bedroom Villas For Sale...,"KSh 95,000,000"
5 Bed Townhouse with En Suite at Kaputei,"Kaputei, Lavington",Lavington Spacious 5 Bedroom Townhouse within a...,"KSh 60,000,000"
4 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",Magnificent 4 Bedroom Townhouse For Sale In Gr...,"KSh 58,000,000"
5 Bed Townhouse with En Suite at Karen,Karen,"5br Townhouse, Karen","KSh 180,000,000"
4 Bed House in Tigoni,"Tigoni, Limuru",4 bedroom house for sale in Tigoni,"KSh 17,500,000"
5 Bed House with Garden in Karen,Karen,Stunning contemporary home,"KSh 95,000,000"
4 Bed House with En Suite at Mugutha,"Mugutha, Ruiru","4 Bedroom House For Sale Mugutha,Ruiru At Kes...","KSh 28,500,000"
