title,location,size,selling price
4 Bed House with En Suite at Off Mombasa Road,"A104, Off Mombasa Road, Syokimau","4 bdrm Villa in Syokimau, Katani Road","KSh 38,500,000"
3 Bed House with En Suite in Ongata Rongai,Ongata Rongai,3 bedrooms house for sale in Kiserian..,"KSh 5,300,000"
4 Bed House with En Suite in Gikambura,"Gikambura, Kikuyu","4 Bedroom House For Sale in Kikuyu, Gikambura (...","KSh 8,500,000"
4 Bed Townhouse with En Suite at Runda,"Runda, Westlands",Breathtaking 4br plus dsq Townhouses,"KSh 29,999,000"
5 Bed Townhouse with En Suite in Kitengela,Kitengela,5 Bedroom Townhouse for sale in Kitengela,"KSh 25,000,000"
4 Bed Townhouse at Apple Cross Road,"Apple Cross Road, Lavington","Lavington, Applecross, New Townhouses - FOR SAL...","KSh 72,499,999"
3 Bed House with En Suite in Juja,Juja,3 Bedroomed Master and Corner Bedroom Ensuite,"KSh 7,200,000"
4 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",MASTERFULLY BUILT 4 BEDROOM HOUSE IN A GATED ES...,"KSh 90,000,000"
3 Bed Townhouse with En Suite at Animo,"Mtwapa, Animo",Phase 3 Townhouses on sale Mtwapa,"KSh 6,500,000"
3 Bed House in Langata,Langata,Well Maintained 3-Bedroom Maisonette For Sale O...,"KSh 26,500,000"
4 Bed House with En Suite in Langata,Langata,Dam Estate Maisonette,"KSh 17,000,000"
5 Bed House with En Suite at Brookside Westlands,"Brookside westlands, Brookside Westlands, Brookside, Westlands",Spectacular 5br all ensuite Villa in Westlands,"KSh 64,990,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,4 bedrooms townhouse at Lavington,"KSh 70,000,000"
4 Bed Villa with En Suite at Creekside Beach,"Aloo drive, Creekside Beach, Mtwapa",Arabic design villa facing Mtwapa creek Beach o...,"KSh 35,000,000"
5 Bed Villa with En Suite at Kwa Kabogo,"1 km from Spur Mall, Kwa Kabogo, Ruiru",Spacious and Serene Living: 5 Bedroom All En-su...,"KSh 28,000,000"
5 Bed House with En Suite in Ruaka,Ruaka,5 BEDROOMS VILLA,"KSh 30,500,000"
3 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",FOR SALE 3 BEDROOMS EXCUTIVE APARTMENTS - NYALI,"KSh 17,000,000"
5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands","FOR SALE: DUPLEX MANSION, LOWER KABETE 5 BEDRO...","KSh 100,000,000"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4 & 3 BDR Townhouse for sale,"KSh 29,500,000"
5 Bed House with En Suite at Ruiru-Githunguri Road,"Ruiru, Ruiru-Githunguri Road",MODERN FLATROOFS MAISONETTES BY WILLSTONE HOME...,"KSh 15,500,000"
4 Bed House with En Suite at Muchatha Heights,"Muchatha Heights, Muchatha, Muchatha and Banana",FOUR-BEDROOM FOR SALE WITHIN MUCHATHA HEIGHTS...,"KSh 14,500,000"
3 Bed Townhouse with Swimming Pool at Mtwapa,"mtwapa, Mtwapa",3 bedroom modern family townhouse on sale Mtwap...,"KSh 7,500,000"
3 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",FOR SALE 3 BEDROOMS EXCUTIVE TOWNHOUSES,"KSh 20,000,000"
4 Bed Townhouse with En Suite in Nyali Area,"Nyali, Nyali Area",4 Bedroom Luxurious Villa Family Home On Sale A...,"KSh 65,000,000"
4 Bed House with En Suite at Balozi Estate,"Balozi Estate, Muthaiga",4 BEDROOM HOUSE FOR SALE IN BALOZI ESTATE,"KSh 27,000,000"
5 Bed Villa with En Suite at Loresho Ridge,"Loresho Ridge, Loresho, Westlands",Elegant 5 Bedroom Villas in Loresho,"KSh 150,000,000"
5 Bed Villa with En Suite in Lavington,Lavington,Spacious,"KSh 75,000,000"
3 Bed Townhouse with En Suite at Kilimani,Kilimani,Kilimani 3 bedroom townhouse for sale,"KSh 38,000,000"
4 Bed House with Swimming Pool in Runda,"Runda, Westlands",FOUR BEDROOM BUNGALOW WITH A GUEST-WING ON 1.2...,"KSh 150,000,000"
3 Bed Villa with En Suite at Mtwapa,"La-marina, Mtwapa",Modern Resort villa on sale la-marina Mtwapa,"KSh 31,500,000"
4 Bed House with En Suite in Ngong,Ngong,4 BEDROOMS FURNISHED MAISONETTE IN NGONG.,"KSh 27,000,000"
4 Bed Townhouse with En Suite at Kiambu Road,"2, Kiambu road, Kiambu Road",Modern 4 Bedroom Townhouses For Sale along Kiam...,"KSh 24,000,000"
3 Bed Townhouse with Garden at Jamhuri Phase 1,"Jamhuri phase 1, Ngong Road",3 bedroom maisonette in Jamhuri off Ngong road,"KSh 16,200,000"
3 Bed House with En Suite in Ruiru,Ruiru,"3 Bedroom House For Sale in Ruiru, Matangi (Kar...","KSh 6,800,000"
4 Bed House with En Suite in Kenyatta Road,Kenyatta Road,"4-BEDROOMS MASIONETTE, KENYATTA ROAD.","KSh 27,000,000"
5 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",5 Bedroom Masionette +SQ in Nyali,"KSh 70,000,000"
5 Bed Villa with En Suite in Lavington,Lavington,5 Bedroom Villa For Sale Lavington,"KSh 65,000,000"
5 Bed House with En Suite in Lavington,Lavington,5 BEDROOMS TOWNHOUSES FOR SALE IN LAVINGTON.,"KSh 75,000,000"
4 Bed Townhouse with En Suite at Joska,"Joska, Kamulu Joska Malaa",All ensuite 4 bedroom Maisonette in a gated com...,"KSh 11,500,000"
6 Bed House with En Suite at Kyuna Road,"90, Kyuna Road, Kyuna, Westlands",The property consists of two Plots 2.5 acres pl...,"KSh 295,000,000"
3 Bed House in Buruburu,Buruburu,3 Bedroom Bungalow House For Sale at Buruburu P...,"KSh 10,300,000"
4 Bed Townhouse with En Suite in Kilifi,Kilifi,NEWLY BUILT 4 BED MAISONETTES WITH POOL IN KILI...,"KSh 14,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,SPACIOUS 4 BEDROOMS TOWNHOUSE FOR SALE IN LAVIN...,"KSh 75,000,000"
3 Bed House with En Suite in Ngumo Estate,Ngumo Estate,Ngumo Estate Maisonette,"KSh 22,500,000"
4 Bed Villa with En Suite in Spring Valley,"Spring Valley, Westlands","Beautiful Home For Sale, Spring Valley","KSh 85,000,000"
6 Bed Villa with En Suite in Lavington,Lavington,A magnificent 6 bedrooms villas for sale in lav...,"KSh 121,000,000"
3 Bed House with En Suite at Mtwapa Weigh Bridge,"Mtwapa Weigh bridge, Mtwapa",PHASE 3 GREENWOOD LUXURY GARDEN MTWAPA 3 BEDRO...,"KSh 7,500,000"
4 Bed Townhouse with En Suite in Athi River,Athi River,Spacious 4 bedroom maisonettes located in Momb...,"KSh 8,850,000"
5 Bed Villa with En Suite at Katani Road,"katani road, Syokimau",Elevate Your Lifestyle: Exceptional 5 Bedroom A...,"KSh 22,500,000"
